market,canonical_service,price_scope,commercial_context,observations_n,providers_n,min_ars,q1_ars,median_ars,q3_ars,max_ars,spread_ratio,evidence_confidence,decision_ready,range_ready
CABA,ARMADO_PC,UNKNOWN,STANDARD,1,1,90000.0,90000.0,90000.0,90000.0,90000.0,1.0,INSUFFICIENT,NO,NO
CABA,CCTV_INSTALACION_MANO_OBRA,PER_UNIT,STANDARD,1,1,45000.0,45000.0,45000.0,45000.0,45000.0,1.0,INSUFFICIENT,NO,NO
Buenos Aires,VISITA_TECNICA_DOMICILIO,PER_HOUR,URGENCY,1,1,80000.0,80000.0,80000.0,80000.0,80000.0,1.0,INSUFFICIENT,NO,NO
Buenos Aires,RECUPERACION_DATOS,UNKNOWN,STANDARD,1,1,100000.0,100000.0,100000.0,100000.0,100000.0,1.0,INSUFFICIENT,NO,NO
Córdoba,LIMPIEZA_MANTENIMIENTO,UNKNOWN,STANDARD,1,1,59000.0,59000.0,59000.0,59000.0,59000.0,1.0,INSUFFICIENT,NO,NO
Córdoba,VISITA_TECNICA_DOMICILIO,UNKNOWN,STANDARD,1,1,30000.0,30000.0,30000.0,30000.0,30000.0,1.0,INSUFFICIENT,NO,NO
Santa Fe,LIMPIEZA_MANTENIMIENTO,UNKNOWN,STANDARD,1,1,65000.0,65000.0,65000.0,65000.0,65000.0,1.0,INSUFFICIENT,NO,NO
Santa Fe,FORMATEO_INSTALACION_SO,UNKNOWN,STANDARD,1,1,75000.0,75000.0,75000.0,75000.0,75000.0,1.0,INSUFFICIENT,NO,NO
Santa Fe,REPARACION_HARDWARE,UNKNOWN,STANDARD,1,1,250000.0,250000.0,250000.0,250000.0,250000.0,1.0,INSUFFICIENT,NO,NO
Tucumán,FORMATEO_INSTALACION_SO,UNKNOWN,STANDARD,1,1,25000.0,25000.0,25000.0,25000.0,25000.0,1.0,INSUFFICIENT,NO,NO
La Rioja,DIAGNOSTICO_REVISION,UNKNOWN,STANDARD,1,1,24000.0,24000.0,24000.0,24000.0,24000.0,1.0,INSUFFICIENT,NO,NO
