market,canonical_service,observations_n,providers_n,min_ars,q1_ars,median_ars,q3_ars,max_ars,spread_ratio,evidence_confidence,decision_ready,range_ready
CABA,LIMPIEZA_MANTENIMIENTO,5,4,26325.0,28000.0,36855.0,45000.0,70000.0,2.659,INSUFFICIENT,NO,NO
Buenos Aires,VISITA_TECNICA_DOMICILIO,4,2,44000.0,48500.0,65000.0,84500.0,98000.0,2.227,INSUFFICIENT,NO,NO
Buenos Aires,REPARACION_HARDWARE,4,1,38000.0,53000.0,58000.0,63000.0,78000.0,2.053,INSUFFICIENT,NO,NO
CABA,VISITA_TECNICA_DOMICILIO,3,3,9000.0,12000.0,15000.0,30000.0,45000.0,5.0,INSUFFICIENT,NO,NO
Córdoba,INSTALACION_PROGRAMAS,3,2,10000.0,15000.0,20000.0,30000.0,40000.0,4.0,INSUFFICIENT,NO,NO
Buenos Aires,INSTALACION_PROGRAMAS,3,2,30000.0,32000.0,34000.0,36000.0,38000.0,1.267,LOW,NO,YES
Buenos Aires,LIMPIEZA_MANTENIMIENTO,3,1,40000.0,43000.0,46000.0,59000.0,72000.0,1.8,INSUFFICIENT,NO,NO
CABA,CCTV_INSTALACION_MANO_OBRA,3,1,45000.0,132500.0,220000.0,320000.0,420000.0,9.333,INSUFFICIENT,NO,NO
Córdoba,ELIMINACION_MALWARE,3,1,20000.0,22500.0,25000.0,35000.0,45000.0,2.25,INSUFFICIENT,NO,NO
CABA,BACKUP_DATOS,2,2,21060.0,24545.0,28030.0,31515.0,35000.0,1.662,INSUFFICIENT,NO,NO
Buenos Aires,DIAGNOSTICO_REVISION,2,2,20000.0,22500.0,25000.0,27500.0,30000.0,1.5,INSUFFICIENT,NO,NO
Tucumán,LIMPIEZA_MANTENIMIENTO,2,2,20000.0,23750.0,27500.0,31250.0,35000.0,1.75,INSUFFICIENT,NO,NO
Córdoba,UPGRADE_HARDWARE,2,2,39000.0,45500.0,52000.0,58500.0,65000.0,1.667,INSUFFICIENT,NO,NO
CABA,INSTALACION_PROGRAMAS,2,1,12636.0,13425.75,14215.5,15005.25,15795.0,1.25,INSUFFICIENT,NO,NO
Buenos Aires,CLONADO_DISCO,2,1,78000.0,90000.0,102000.0,114000.0,126000.0,1.615,INSUFFICIENT,NO,NO
Buenos Aires,ARMADO_PC,2,1,130000.0,150000.0,170000.0,190000.0,210000.0,1.615,INSUFFICIENT,NO,NO
Tucumán,REPARACION_HARDWARE,2,1,20000.0,26250.0,32500.0,38750.0,45000.0,2.25,INSUFFICIENT,NO,NO
CABA,DIAGNOSTICO_REVISION,2,1,25000.0,33750.0,42500.0,51250.0,60000.0,2.4,INSUFFICIENT,NO,NO
CABA,INSTALACION_DRIVERS,1,1,21060.0,21060.0,21060.0,21060.0,21060.0,1.0,INSUFFICIENT,NO,NO
CABA,ELIMINACION_MALWARE,1,1,26325.0,26325.0,26325.0,26325.0,26325.0,1.0,INSUFFICIENT,NO,NO
Córdoba,BACKUP_DATOS,1,1,35000.0,35000.0,35000.0,35000.0,35000.0,1.0,INSUFFICIENT,NO,NO
Córdoba,REPARACION_INICIO_WINDOWS,1,1,40000.0,40000.0,40000.0,40000.0,40000.0,1.0,INSUFFICIENT,NO,NO
Córdoba,HARD_RESET,1,1,45000.0,45000.0,45000.0,45000.0,45000.0,1.0,INSUFFICIENT,NO,NO
Buenos Aires,FORMATEO_INSTALACION_SO,1,1,86000.0,86000.0,86000.0,86000.0,86000.0,1.0,INSUFFICIENT,NO,NO
Buenos Aires,BACKUP_DATOS,1,1,38000.0,38000.0,38000.0,38000.0,38000.0,1.0,INSUFFICIENT,NO,NO
Buenos Aires,CONFIGURACION_EQUIPO,1,1,78000.0,78000.0,78000.0,78000.0,78000.0,1.0,INSUFFICIENT,NO,NO
Buenos Aires,INSTALACION_DRIVERS,1,1,38000.0,38000.0,38000.0,38000.0,38000.0,1.0,INSUFFICIENT,NO,NO
Buenos Aires,ELIMINACION_MALWARE,1,1,46000.0,46000.0,46000.0,46000.0,46000.0,1.0,INSUFFICIENT,NO,NO
Buenos Aires,REPARACION_INICIO_WINDOWS,1,1,70000.0,70000.0,70000.0,70000.0,70000.0,1.0,INSUFFICIENT,NO,NO
Buenos Aires,HARD_RESET,1,1,70000.0,70000.0,70000.0,70000.0,70000.0,1.0,INSUFFICIENT,NO,NO
CABA,FORMATEO_INSTALACION_SO,1,1,85000.0,85000.0,85000.0,85000.0,85000.0,1.0,INSUFFICIENT,NO,NO
CABA,ARMADO_PC,1,1,90000.0,90000.0,90000.0,90000.0,90000.0,1.0,INSUFFICIENT,NO,NO
Buenos Aires,RECUPERACION_DATOS,1,1,100000.0,100000.0,100000.0,100000.0,100000.0,1.0,INSUFFICIENT,NO,NO
Córdoba,LIMPIEZA_MANTENIMIENTO,1,1,59000.0,59000.0,59000.0,59000.0,59000.0,1.0,INSUFFICIENT,NO,NO
Córdoba,VISITA_TECNICA_DOMICILIO,1,1,30000.0,30000.0,30000.0,30000.0,30000.0,1.0,INSUFFICIENT,NO,NO
Santa Fe,LIMPIEZA_MANTENIMIENTO,1,1,65000.0,65000.0,65000.0,65000.0,65000.0,1.0,INSUFFICIENT,NO,NO
Santa Fe,FORMATEO_INSTALACION_SO,1,1,75000.0,75000.0,75000.0,75000.0,75000.0,1.0,INSUFFICIENT,NO,NO
Santa Fe,REPARACION_HARDWARE,1,1,250000.0,250000.0,250000.0,250000.0,250000.0,1.0,INSUFFICIENT,NO,NO
